id,year
3416,1998
18991,2003
11105,1995
18902,2000
18958,2002
8132,2004
4442,2003
5562,2004
16836,2005
3555,1999
1836,1992
5999,2004
6198,1990
17426,2004
13323,2003
7473,2004
9635,2004
6781,1991
2460,2002
3439,1991
9435,2000
11001,1989
11872,1995
18084,2004
14233,2003
7146,2002
4775,1998
5369,1989
6176,2003
7436,2001
19646,1987
9053,1995
4184,2003
12471,1999
14698,2004
7315,2004
14120,1999
4208,1998
4081,2004
11136,2000
2987,1994
19737,1984
5798,1995
8564,2004
14459,1985
12543,1998
17304,1989
11507,1987
5050,2002
3306,1998
15196,2004
13905,1997
10326,1990
16654,1994
16105,1995
12049,1998
2786,1999
7759,2001
14592,2004
13693,2005
11532,2004
8187,1995
1715,2001
1723,1990
11800,1997
5102,2003
11349,2003
18514,2004
2101,1996
9061,2002
16302,2004
12194,2003
4298,1999
13035,1995
12946,2002
5370,1996
7226,1996
4449,2004
15965,1996
812,1991
3071,2004
18910,2004
16360,1990
1776,1987
6134,1987
12694,2004
7327,2005
18694,1995
18051,1997
3718,1999
18600,1992
7976,2004
10430,2002
4385,2004
11698,2004
19617,2004
19927,2004
3642,1990
19053,2004
1578,1990
17202,2001
15508,2003
1504,1984
9520,1993
16542,2004
4704,1977
2104,2004
6414,2004
3415,1999
2453,2005
3538,2004
2726,1996
8996,2000
11821,1993
8466,1998
19722,1998
6864,2004
12664,2003
19154,1996
6015,2004
2394,1985
12328,2001
10996,2004
15952,2001
12252,1996
7309,1995
7641,2002
17101,1990
1405,1996
6224,2004
9300,1996
2538,1995
6679,2003
2107,1989
12056,1998
15814,2003
15354,2002
4997,2003
14460,1999
6818,1992
11501,2003
19972,1988
15469,2004
11863,1989
14973,2004
18089,2001
16367,2004
18461,2002
12188,1992
8234,2004
10730,2000
4830,2004
10361,1994
5039,2001
6836,1986
15753,1992
3699,2003
14767,1984
12192,1999
4100,2002
1619,2004
10221,2001
19257,2004
8630,2000
14510,1999
14963,2001
16126,2002
17390,1995
18254,2004
10532,2004
17820,2004
14023,1998
5833,2003
19422,2004
1630,2004
16179,2004
2283,2003
13096,2003
5805,2004
