id,year
3416,2000
18991,2004
11105,1996
18902,1997
18958,2003
8132,2006
4442,2004
5562,2004
16836,2005
3555,1999
1836,1988
5999,2001
6198,1989
17426,2005
13323,2003
7473,2008
9635,2004
6781,1991
2460,2004
3439,1989
9435,2004
11001,1988
11872,1989
18084,2003
14233,1992
7146,2003
4775,1996
5369,1986
6176,2005
7436,2001
19646,1986
9053,1987
4184,2004
12471,2001
14698,2004
7315,2005
14120,1998
4208,1996
4081,2004
11136,1998
2987,1991
19737,1985
5798,1990
8564,2004
14459,1985
12543,1999
17304,1989
11507,1987
5050,2003
3306,1993
15196,2005
13905,1997
10326,1987
16654,1993
16105,1994
12049,2001
2786,1998
7759,1998
14592,2006
13693,2005
11532,2006
8187,1992
1715,2005
1723,1989
11800,1995
5102,2001
11349,2003
18514,2005
2101,1997
9061,2003
16302,2005
12194,2004
4298,2003
13035,1995
12946,2003
5370,1996
7226,1996
4449,2004
15965,1996
812,1988
3071,2002
18910,2005
16360,1988
1776,1985
6134,2002
12694,2005
7327,2011
18694,1996
18051,1994
3718,1998
18600,1994
7976,2005
10430,2000
4385,2004
11698,2004
19617,2006
19927,2003
3642,1986
19053,2005
1578,1987
17202,2002
15508,2004
1504,1986
9520,1991
16542,2004
4704,1982
2104,2006
6414,2004
3415,1999
2453,2010
3538,2004
2726,1996
8996,2001
11821,1993
8466,1997
19722,2001
6864,2006
12664,2002
19154,1998
6015,2005
2394,1986
12328,2001
10996,2006
15952,1995
12252,1994
7309,1997
7641,2003
17101,1990
1405,1995
6224,2006
9300,1996
2538,1993
6679,2003
2107,1986
12056,1995
15814,2003
15354,2000
4997,2004
14460,2001
6818,1990
11501,2004
19972,1988
15469,2004
11863,1978
14973,2003
18089,2001
16367,2004
18461,2002
12188,1991
8234,2005
10730,2002
4830,2007
10361,1993
5039,2003
6836,1984
15753,1992
3699,2003
14767,1982
12192,1999
4100,1997
1619,2004
10221,2002
19257,2004
8630,2004
14510,2003
14963,2002
16126,2005
17390,1993
18254,2004
10532,1999
17820,2006
14023,1998
5833,2004
19422,2004
1630,2003
16179,2004
2283,2004
13096,2004
5805,2005
14928,1988
1246,1997
8760,2003
14543,1996
14636,2002
2427,1999
613,2003
11219,2005
6108,1993
4089,2000
8359,1990
10945,2005
7068,2003
16612,1993
2370,2005
16780,2000
7060,1988
6025,1989
864,1998
17858,2003
9889,1996
9173,1998
17582,1992
1108,1990
18714,2003
15791,1995
1479,2003
18361,2002
14787,1990
9181,1993
8586,1990
19658,2002
4012,2004
12323,2003
4377,1986
13347,2001
18908,2002
14699,2004
11786,2005
4116,2004
16608,1987
0,2003
14367,1993
12282,2004
6005,1997
1933,1985
14803,1995
11720,2004
14932,1990
11767,1995
14758,2001
1521,2003
11487,1987
10181,1997
