id,year
3416,2000
18991,2004
11105,1996
18902,1995
18958,1998
8132,2009
4442,2002
5562,2003
16836,2007
3555,1999
1836,1988
5999,2001
6198,1991
17426,2006
13323,2002
7473,2010
9635,2004
6781,1993
2460,2003
3439,1989
9435,2001
11001,1988
11872,1993
18084,2002
14233,1996
7146,2003
4775,1996
5369,1986
6176,2002
7436,2001
19646,1986
9053,1995
4184,2003
12471,1998
14698,2004
7315,2006
14120,1997
4208,1996
4081,2005
11136,1999
2987,1994
19737,1984
5798,1992
8564,2004
14459,1984
12543,1998
17304,1991
11507,1989
5050,2001
3306,1993
15196,2007
13905,1997
10326,1989
16654,1994
16105,1995
12049,2001
2786,1998
7759,1997
14592,2008
13693,2006
11532,2006
8187,1993
1715,2007
1723,1992
11800,1997
5102,2002
11349,2001
18514,2005
2101,1996
9061,2001
16302,2006
12194,2004
4298,2002
13035,1996
12946,2002
5370,1998
7226,1995
4449,2005
15965,1996
812,1988
3071,1998
18910,2008
16360,1991
1776,1988
6134,2001
12694,2005
7327,2011
18694,1996
18051,1995
3718,2000
18600,1996
7976,2005
10430,1997
4385,2004
11698,2002
19617,2006
19927,2003
3642,1988
19053,2003
1578,1988
17202,2000
15508,2004
1504,1986
9520,1994
16542,2004
4704,1980
2104,2007
6414,2003
3415,1999
2453,2011
3538,2003
2726,1997
8996,2002
11821,1992
8466,1999
19722,1999
6864,2008
12664,1999
19154,1996
6015,2006
2394,1985
12328,1996
10996,2008
15952,1995
12252,1997
7309,1999
7641,1999
17101,1992
1405,1996
6224,2008
9300,1995
2538,1995
6679,2001
2107,1991
12056,1997
15814,2002
15354,2001
4997,2004
14460,2001
6818,1992
11501,2003
19972,1986
15469,2003
11863,1979
14973,2002
18089,1999
16367,2005
18461,2001
12188,1993
8234,2006
10730,2001
4830,2009
10361,1995
5039,2000
6836,1983
15753,1993
3699,2003
14767,1980
12192,1999
4100,1996
1619,2003
10221,2002
19257,2004
8630,2005
14510,2000
14963,2000
16126,2003
17390,1994
18254,2004
10532,2003
17820,2009
14023,1999
5833,2004
19422,2004
1630,2003
16179,2004
2283,2003
13096,2001
5805,2005
14928,1993
1246,1997
8760,2002
14543,1997
14636,2002
2427,1999
613,2001
11219,2004
6108,1996
4089,2000
8359,1994
10945,2005
7068,2001
16612,1993
2370,2005
16780,2000
7060,1989
6025,1990
864,1994
17858,2003
9889,1998
9173,1999
17582,1988
1108,1992
18714,2001
15791,1997
1479,2003
18361,2001
14787,1991
9181,1996
8586,1991
19658,2000
4012,2004
12323,2003
4377,1988
13347,1997
18908,2000
14699,2005
11786,2007
4116,2005
16608,1988
0,2002
14367,1995
12282,2005
6005,1998
1933,1983
14803,1996
11720,2004
14932,1990
11767,1999
14758,1999
1521,2002
11487,1989
10181,1998
